home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Malawi,Zambia,Africa,Africa,67,27,0,3,Friendly,Blantyre,FALSE,No,Lose
Malta,Slovenia,Europe,Europe,83,134,0,1,Malta International Tournament,Attard,FALSE,No,Lose
Malawi,Zambia,Africa,Africa,67,27,0,2,Friendly,Blantyre,FALSE,No,Lose
Romania,USA,Europe,North America,13,22,2,1,Lunar New Year Cup,Kowloon,TRUE,No,Win
Italy,France,Europe,Europe,7,14,0,1,Friendly,Naples,FALSE,No,Lose
Korea Republic,Romania,Asia,Europe,42,18,1,2,Friendly,Changwon,FALSE,No,Lose
Malta,Belgium,Europe,Europe,83,26,1,0,Friendly,Attard,FALSE,No,Win
Colombia,Sweden,South America,Europe,20,10,0,0,Friendly,Miami,TRUE,No,Draw
USA,Bolivia,North America,South America,21,55,1,1,Friendly,Miami,FALSE,No,Draw
Bolivia,Colombia,South America,South America,55,20,0,2,Friendly,Miami,TRUE,No,Lose
USA,Sweden,North America,Europe,21,10,1,3,Friendly,Miami,FALSE,No,Lose
Mali,Ghana,Africa,Africa,61,35,0,0,Friendly,Bamako,FALSE,No,Draw
Morocco,Finland,Africa,Europe,28,41,0,0,Friendly,Casablanca,FALSE,No,Draw
Mexico,Sweden,North America,Europe,17,10,2,1,Friendly,Fresno,TRUE,No,Win
Colombia,Korea Republic,South America,Asia,20,42,2,2,Friendly,Monterey Park,TRUE,No,Draw
Zimbabwe,Zambia,Africa,Africa,46,30,2,2,Friendly,Harare,FALSE,No,Draw
Gabon,Senegal,Africa,Africa,62,60,0,0,Friendly,Moanda,FALSE,No,Draw
Mexico,Colombia,North America,South America,17,20,0,0,Friendly,Mexico City,FALSE,No,Draw
USA,Korea Republic,North America,Asia,21,42,1,0,Friendly,Monterey Park,FALSE,No,Win
Cayman Islands,Jamaica,North America,North America,153,81,3,2,CFU Caribbean Cup qualification,West Bay,FALSE,No,Win
Cyprus,Estonia,Europe,Europe,75,109,2,0,Friendly,Paralímni,FALSE,No,Win
England,Denmark,Europe,Europe,12,4,1,0,Friendly,London,FALSE,No,Win
Hungary,Switzerland,Europe,Europe,49,8,1,2,Friendly,Budapest,FALSE,No,Lose
Nigeria,Ghana,Africa,Africa,15,35,0,0,Friendly,Lagos,FALSE,No,Draw
Wales,Norway,Europe,Europe,27,5,1,3,Friendly,Cardiff,FALSE,No,Lose
